,algo,anormal_detect,anormal_size,component,gamma,machine,normal_detect,normal_size,nu,sensibilite,specificite,type
66,OSVM,214.0,264.0,2.0,0.001,ToyCar_01,207.0,350.0,0.33336666666666664,0.8106060606060606,0.5914285714285714,ToyCar
67,OSVM,218.0,264.0,2.0,0.001,ToyCar_01,195.0,350.0,0.3541958333333333,0.8257575757575758,0.5571428571428572,ToyCar
68,OSVM,219.0,264.0,2.0,0.001,ToyCar_01,190.0,350.0,0.375025,0.8295454545454546,0.5428571428571428,ToyCar
69,OSVM,222.0,264.0,2.0,0.001,ToyCar_01,183.0,350.0,0.3958541666666666,0.8409090909090909,0.5228571428571429,ToyCar
70,OSVM,223.0,264.0,2.0,0.001,ToyCar_01,178.0,350.0,0.4166833333333333,0.8446969696969697,0.5085714285714286,ToyCar
71,OSVM,225.0,264.0,2.0,0.001,ToyCar_01,169.0,350.0,0.43751249999999997,0.8522727272727273,0.4828571428571429,ToyCar
72,OSVM,225.0,264.0,2.0,0.001,ToyCar_01,162.0,350.0,0.45834166666666665,0.8522727272727273,0.46285714285714286,ToyCar
73,OSVM,226.0,264.0,2.0,0.001,ToyCar_01,152.0,350.0,0.4791708333333333,0.8560606060606061,0.4342857142857143,ToyCar
74,OSVM,229.0,264.0,2.0,0.001,ToyCar_01,146.0,350.0,0.5,0.8674242424242424,0.41714285714285715,ToyCar
75,OSVM,167.0,265.0,2.0,0.001,ToyCar_02,345.0,350.0,0.0001,0.630188679245283,0.9857142857142858,ToyCar
76,OSVM,181.0,265.0,2.0,0.001,ToyCar_02,341.0,350.0,0.020929166666666665,0.6830188679245283,0.9742857142857143,ToyCar
77,OSVM,201.0,265.0,2.0,0.001,ToyCar_02,332.0,350.0,0.041758333333333335,0.7584905660377359,0.9485714285714286,ToyCar
78,OSVM,202.0,265.0,2.0,0.001,ToyCar_02,325.0,350.0,0.0625875,0.7622641509433963,0.9285714285714286,ToyCar
79,OSVM,205.0,265.0,2.0,0.001,ToyCar_02,317.0,350.0,0.08341666666666667,0.7735849056603774,0.9057142857142857,ToyCar
80,OSVM,207.0,265.0,2.0,0.001,ToyCar_02,313.0,350.0,0.10424583333333333,0.7811320754716982,0.8942857142857142,ToyCar
81,OSVM,210.0,265.0,2.0,0.001,ToyCar_02,307.0,350.0,0.125075,0.7924528301886793,0.8771428571428571,ToyCar
82,OSVM,213.0,265.0,2.0,0.001,ToyCar_02,304.0,350.0,0.14590416666666664,0.8037735849056604,0.8685714285714285,ToyCar
83,OSVM,216.0,265.0,2.0,0.001,ToyCar_02,297.0,350.0,0.16673333333333332,0.8150943396226416,0.8485714285714285,ToyCar
84,OSVM,222.0,265.0,2.0,0.001,ToyCar_02,286.0,350.0,0.1875625,0.8377358490566038,0.8171428571428572,ToyCar
85,OSVM,224.0,265.0,2.0,0.001,ToyCar_02,277.0,350.0,0.20839166666666664,0.8452830188679246,0.7914285714285715,ToyCar
86,OSVM,226.0,265.0,2.0,0.001,ToyCar_02,273.0,350.0,0.22922083333333332,0.8528301886792453,0.78,ToyCar
87,OSVM,227.0,265.0,2.0,0.001,ToyCar_02,264.0,350.0,0.25005,0.8566037735849057,0.7542857142857143,ToyCar
88,OSVM,230.0,265.0,2.0,0.001,ToyCar_02,256.0,350.0,0.27087916666666667,0.8679245283018868,0.7314285714285714,ToyCar
89,OSVM,232.0,265.0,2.0,0.001,ToyCar_02,246.0,350.0,0.2917083333333333,0.8754716981132076,0.7028571428571428,ToyCar
90,OSVM,232.0,265.0,2.0,0.001,ToyCar_02,238.0,350.0,0.31253749999999997,0.8754716981132076,0.68,ToyCar
91,OSVM,232.0,265.0,2.0,0.001,ToyCar_02,234.0,350.0,0.33336666666666664,0.8754716981132076,0.6685714285714286,ToyCar
92,OSVM,232.0,265.0,2.0,0.001,ToyCar_02,229.0,350.0,0.3541958333333333,0.8754716981132076,0.6542857142857142,ToyCar
93,OSVM,235.0,265.0,2.0,0.001,ToyCar_02,223.0,350.0,0.375025,0.8867924528301887,0.6371428571428571,ToyCar
